mode,topic,candidates,ballots,p50,p90,p95,p99,p999,perfect_four
daily,Best Sounds,100,10000,28.78,36.67,40,40,40,Best Sounds Candidate 001 | Best Sounds Candidate 002 | Best Sounds Candidate 003 | Best Sounds Candidate 004
daily,Things to Have at a Party,100,10000,29.19,37.46,40,40,40,Things to Have at a Party Candidate 001 | Things to Have at a Party Candidate 002 | Things to Have at a Party Candidate 003 | Things to Have at a Party Candidate 004
daily,Things That Belong in a Man Cave,100,10000,29.51,38.08,38.62,40,40,Things That Belong in a Man Cave Candidate 001 | Things That Belong in a Man Cave Candidate 002 | Things That Belong in a Man Cave Candidate 003 | Things That Belong in a Man Cave Candidate 004
daily,Things You Need on a Road Trip,100,10000,28.9,37.52,39.02,40,40,Things You Need on a Road Trip Candidate 001 | Things You Need on a Road Trip Candidate 002 | Things You Need on a Road Trip Candidate 003 | Things You Need on a Road Trip Candidate 004
daily,Things That Make a Hotel Great,100,10000,29.35,37.29,38.68,40,40,Things That Make a Hotel Great Candidate 001 | Things That Make a Hotel Great Candidate 002 | Things That Make a Hotel Great Candidate 003 | Things That Make a Hotel Great Candidate 004
daily,Things That Make a Beach Day Great,100,10000,29.37,37.73,40,40,40,Things That Make a Beach Day Great Candidate 001 | Things That Make a Beach Day Great Candidate 002 | Things That Make a Beach Day Great Candidate 003 | Things That Make a Beach Day Great Candidate 004
daily,Things You Miss About Being a Kid,100,10000,28.44,36.49,37.68,40,40,Things You Miss About Being a Kid Candidate 001 | Things You Miss About Being a Kid Candidate 002 | Things You Miss About Being a Kid Candidate 003 | Things You Miss About Being a Kid Candidate 004
daily,Things That Make a Great Sunday,100,10000,29.1,37.9,38.5,40,40,Things That Make a Great Sunday Candidate 001 | Things That Make a Great Sunday Candidate 002 | Things That Make a Great Sunday Candidate 003 | Things That Make a Great Sunday Candidate 004
daily,Things You'd Put in a Time Capsule,100,10000,29.17,38.12,38.55,40,40,Things You'd Put in a Time Capsule Candidate 001 | Things You'd Put in a Time Capsule Candidate 002 | Things You'd Put in a Time Capsule Candidate 003 | Things You'd Put in a Time Capsule Candidate 004
daily,Things That Scream Summer,100,10000,28.69,37.78,39.08,40,40,Things That Scream Summer Candidate 001 | Things That Scream Summer Candidate 002 | Things That Scream Summer Candidate 003 | Things That Scream Summer Candidate 004
daily,Things That Scream Fall,100,10000,29.49,37.72,39.35,40,40,Things That Scream Fall Candidate 001 | Things That Scream Fall Candidate 002 | Things That Scream Fall Candidate 003 | Things That Scream Fall Candidate 004
